exam_id,exam_name,exam_category,organization,country,state,year,subject,topic,subtopic,difficulty,cognitive_level,question_type,question,options,correct_answer,explanation,marks,negative_marks,time_limit_seconds,language,source,tags,created_at,updated_at,question_hash
TSPSC_2026_0000001,TSPSC,State Government,TSPSC,India,Telangana,2026,History,Modern India,National Movement,Medium,Apply,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['tspsc', 'history', 'medium', 'match-the-following']",2026-05-01T05:44:55.639392+00:00,2026-05-01T05:44:55.639392+00:00,7e374c971cdf42600400e0d8fd02f583fa484c09aebb1fbb5aa66e236fdac414
GATE_2026_0000001,GATE,Engineering,IISc/IITs,India,,2026,General Knowledge,Indian Geography,Rivers,Medium,Understand,Diagram-based questions,Select the correct mirror image of the given figure.,"['Option A', 'Option B', 'Option C', 'Option D']",Option B,Option B correctly preserves mirrored orientation.,2,0.5,70,English,Mock.AI Production Generator,"['gate', 'general-knowledge', 'medium', 'diagram-based-questions']",2026-05-01T05:44:55.639429+00:00,2026-05-01T05:44:55.639429+00:00,0ef8ef0dac16f29f736cd314946e434bfbdc3467e3d1dd32b605852819179785
UGC_NET_2026_0000002,UGC NET,Teaching,NTA,India,,2026,Reasoning,Puzzles,Arrangement,Medium,Apply,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['ugc-net', 'reasoning', 'medium', 'match-the-following']",2026-05-01T05:44:55.639465+00:00,2026-05-01T05:44:55.639465+00:00,a2b30c00cf14cd431992b6be0c25e36ee69ac2b0e2065145f88c049e2c911645
STATE_POLICE_SI_2026_0000001,State Police SI,Police,State Police Recruitment Board,India,Various,2026,Computer Science,Programming,Control Flow,Medium,Understand,True/False,CPU stands for Central Process Unit.,"['True', 'False']",False,Correct expansion is Central Processing Unit.,1,0,40,English,Mock.AI Production Generator,"['state-police-si', 'computer-science', 'medium', 'true/false']",2026-05-01T05:44:55.639502+00:00,2026-05-01T05:44:55.639502+00:00,8af426d331f3d25ef412b9a9e29424eafbe0f077dfe0c49ae899f22f1115fdd8
CMA_2026_0000001,CMA,Entrance,ICMAI,India,,2026,DBMS,SQL,Queries,Easy,Remember,Programming questions,Write a Python expression to check if number 16 is even.,[],16 % 2 == 0,A number is even if remainder with 2 is zero.,2,0,120,English,Mock.AI Production Generator,"['cma', 'dbms', 'easy', 'programming-questions']",2026-05-01T05:44:55.639540+00:00,2026-05-01T05:44:55.639540+00:00,bbdfab2a8a22ac4165589d2da2521077da8aa5aa122e24ca8f08a645daeee66a
RRB_NTPC_2026_0000001,RRB NTPC,Railway,RRB,India,,2026,Science,General Physics,Units,Medium,Apply,Fill in the blanks,The capital of India is ____.,[],New Delhi,New Delhi is the national capital.,1,0,30,English,Mock.AI Production Generator,"['rrb-ntpc', 'science', 'medium', 'fill-in-the-blanks']",2026-05-01T05:44:55.639576+00:00,2026-05-01T05:44:55.639576+00:00,5c5ac942e5e9b5eb327609d82183a483d5161f6d52534b9666e4c6469ed1df8f
IDBI_EXECUTIVE_2026_0000001,IDBI Executive,Banking,IDBI,India,,2026,Computer Networks,OSI Model,Layers,Easy,Remember,Case study questions,"A bank report shows branch deposits (in crore): A=73, B=71, C=57. Which branch has the highest deposits?","['A', 'B', 'C']",A,"Maximum value is 73, so branch A is correct.",3,0.5,120,English,Mock.AI Production Generator,"['idbi-executive', 'computer-networks', 'easy', 'case-study-questions']",2026-05-01T05:44:55.639616+00:00,2026-05-01T05:44:55.639616+00:00,656d0f4c54e56444ca19f2bf88efac9739a60b98617fb70013a1d9d38034d4dd
KPSC_2026_0000001,KPSC,State Government,KPSC,India,Karnataka,2026,General Awareness,Banking Awareness,NPA,Easy,Understand,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['kpsc', 'general-awareness', 'easy', 'match-the-following']",2026-05-01T05:44:55.639652+00:00,2026-05-01T05:44:55.639652+00:00,2cbd0c1ccb4b6aa9a99117ab969f5d605cf98fb38ea1724596e6a1934676dc44
RRB_GROUP_D_2026_0000002,RRB Group D,Railway,RRB,India,,2026,General Awareness,Current Affairs,International,Easy,Apply,Assertion-Reason,Assertion (A): Repo rate affects lending rates. Reason (R): Repo rate is the rate at which RBI lends to commercial banks.,"['Both A and R are true and R is the correct explanation', 'Both A and R are true but R is not the correct explanation', 'A is true but R is false', 'A is false but R is true']",Both A and R are true and R is the correct explanation,Repo rate is a policy signal that propagates to loan pricing.,2,0.5,90,English,Mock.AI Production Generator,"['rrb-group-d', 'general-awareness', 'easy', 'assertion-reason']",2026-05-01T05:44:55.639690+00:00,2026-05-01T05:44:55.639690+00:00,698c82b0410e2bafb61a16c8b1be1a47db8da9be2af378a823277f63e310b2d6
CA_2026_0000001,CA,Entrance,ICAI,India,,2026,Quantitative Aptitude,Ratio,Proportion,Hard,Analyze,Match the following,"मिलान कीजिए: (A) CPU, (B) RAM, (C) HDD और (1) संग्रहण, (2) प्रसंस्करण, (3) अस्थायी मेमोरी।","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,Hindi,Mock.AI Production Generator,"['ca', 'quantitative-aptitude', 'hard', 'match-the-following']",2026-05-01T05:44:55.639728+00:00,2026-05-01T05:44:55.639728+00:00,f4b0f0784be4b1910fd5227087da75d639647cd635b6a31619f9ade8cd1c5355
TNPSC_2026_0000001,TNPSC,State Government,TNPSC,India,Tamil Nadu,2026,History,Ancient India,Vedic Age,Hard,Analyze,Diagram-based questions,दिए गए चित्र की सही दर्पण छवि चुनिए।,"['Option A', 'Option B', 'Option C', 'Option D']",Option B,Option B correctly preserves mirrored orientation.,2,0.5,70,Hindi,Mock.AI Production Generator,"['tnpsc', 'history', 'hard', 'diagram-based-questions']",2026-05-01T05:44:55.639764+00:00,2026-05-01T05:44:55.639764+00:00,308e0d754deadf9c059354a12d5d0641ebe593eb02789bf9bee80024f24e31dc
STATE_POLICE_SI_2026_0000002,State Police SI,Police,State Police Recruitment Board,India,Various,2026,History,Modern India,National Movement,Easy,Remember,MCQ,10 + 14 का मान क्या है?,"['30', '21', '25', '24']",24,योग = 10 + 14 = 24।,1,0.25,30,Hindi,Mock.AI Production Generator,"['state-police-si', 'history', 'easy', 'mcq']",2026-05-01T05:44:55.639809+00:00,2026-05-01T05:44:55.639809+00:00,d3934f9c079eb759fcd1fe54feff615e4d4c45ba8a214e63268242d45b609ae0
UPSC_NDA_2026_0000001,UPSC NDA,Defense,UPSC,India,,2026,History,Modern India,National Movement,Medium,Apply,Case study questions,"A bank report shows branch deposits (in crore): A=48, B=67, C=38. Which branch has the highest deposits?","['A', 'B', 'C']",B,"Maximum value is 67, so branch B is correct.",2,0.5,120,English,Mock.AI Production Generator,"['upsc-nda', 'history', 'medium', 'case-study-questions']",2026-05-01T05:44:55.639853+00:00,2026-05-01T05:44:55.639853+00:00,a3a33d4fbbe96c78e44169afd4654a8c4cd403e87c6958ac9ae4e918f2505dbb
SET_2026_0000001,SET,Teaching,State Agency,India,Various,2026,Quantitative Aptitude,Ratio,Proportion,Easy,Apply,Fill in the blanks,RBI is the ____ bank of India.,[],central,RBI is India's central bank.,1,0,30,English,Mock.AI Production Generator,"['set', 'quantitative-aptitude', 'easy', 'fill-in-the-blanks']",2026-05-01T05:44:55.639889+00:00,2026-05-01T05:44:55.639889+00:00,ce126fb5b98bf1ed8a5b5d995d2303f6ccbff4acc6dc38bb08458612d9c714eb
INDIAN_NAVY_2026_0000001,Indian Navy,Defense,Indian Navy,India,,2026,General Awareness,Current Affairs,National,Easy,Apply,Numerical problems,"If a train travels 81 km in 1 hours, find the speed.",[],81.0 km/h,Speed = distance/time = 81/1 = 81.0 km/h.,1,0,45,English,Mock.AI Production Generator,"['indian-navy', 'general-awareness', 'easy', 'numerical-problems']",2026-05-01T05:44:55.639929+00:00,2026-05-01T05:44:55.639929+00:00,d30a1a7823718ee18493077fe9858a16661697ba8584644336e2487c4fcbbe07
UPSC_NDA_2026_0000002,UPSC NDA,Defense,UPSC,India,,2026,Computer Science,Software Engineering,Testing,Medium,Apply,Fill in the blanks,RBI is the ____ bank of India.,[],central,RBI is India's central bank.,1,0,30,English,Mock.AI Production Generator,"['upsc-nda', 'computer-science', 'medium', 'fill-in-the-blanks']",2026-05-01T05:44:55.639964+00:00,2026-05-01T05:44:55.639964+00:00,9c4294c59a4b0582bcd2768083fe02e0e38a4a989f780d20e5c578381df18b96
JEE_ADVANCED_2026_0000001,JEE Advanced,Engineering,IIT,India,,2026,General Knowledge,Indian Polity,Constitution,Medium,Apply,Diagram-based questions,Select the correct mirror image of the given figure.,"['Option A', 'Option B', 'Option C', 'Option D']",Option B,Option B correctly preserves mirrored orientation.,2,0.5,70,English,Mock.AI Production Generator,"['jee-advanced', 'general-knowledge', 'medium', 'diagram-based-questions']",2026-05-01T05:44:55.639998+00:00,2026-05-01T05:44:55.639998+00:00,d2b350947f3bd6a784af943a9c748e745a3fabf4834561a62c3a099adb9e338f
SSC_MTS_2026_0000001,SSC MTS,Government,SSC,India,,2026,Geography,Human Geography,Population,Hard,Evaluate,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['ssc-mts', 'geography', 'hard', 'match-the-following']",2026-05-01T05:44:55.640034+00:00,2026-05-01T05:44:55.640034+00:00,879eb3aa958150ab0a2d55212207fef6158dd140804024a7c5d615aa4c926291
RRB_ALP_2026_0000001,RRB ALP,Railway,RRB,India,,2026,Computer Networks,OSI Model,Layers,Easy,Understand,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['rrb-alp', 'computer-networks', 'easy', 'match-the-following']",2026-05-01T05:44:55.640070+00:00,2026-05-01T05:44:55.640070+00:00,ad1cbb9bf5856df6d670f7480fb1ea0a451188b9a32cdef999d79329a41291ea
SSC_GD_2026_0000001,SSC GD,Government,SSC,India,,2026,Mathematics,Calculus,Derivatives,Hard,Create,True/False,CPU stands for Central Process Unit.,"['True', 'False']",False,Correct expansion is Central Processing Unit.,1,0,40,English,Mock.AI Production Generator,"['ssc-gd', 'mathematics', 'hard', 'true/false']",2026-05-01T05:44:55.640105+00:00,2026-05-01T05:44:55.640105+00:00,7404b4df445aac722b222b4269032b3326479bfba289bbd554bf07e662aa2b4d
IBPS_CLERK_2026_0000001,IBPS Clerk,Banking,IBPS,India,,2026,Quantitative Aptitude,Ratio,Proportion,Easy,Apply,Case study questions,"A bank report shows branch deposits (in crore): A=73, B=86, C=76. Which branch has the highest deposits?","['A', 'B', 'C']",B,"Maximum value is 86, so branch B is correct.",3,0.5,120,English,Mock.AI Production Generator,"['ibps-clerk', 'quantitative-aptitude', 'easy', 'case-study-questions']",2026-05-01T05:44:55.640144+00:00,2026-05-01T05:44:55.640144+00:00,d6173cbd7267160af76f1fa2036f5b3584cb8f666d0ee29f42a229b98ef675af
IBPS_CLERK_2026_0000002,IBPS Clerk,Banking,IBPS,India,,2026,Quantitative Aptitude,Ratio,Proportion,Easy,Apply,MCQ,What is the value of 11 + 11?,"['21', '22', '30', '24']",22,Sum = 11 + 11 = 22.,1,0.25,30,English,Mock.AI Production Generator,"['ibps-clerk', 'quantitative-aptitude', 'easy', 'mcq']",2026-05-01T05:44:55.640189+00:00,2026-05-01T05:44:55.640189+00:00,4e1a75f0606de01495b71ffff82a375f4d59191ea646e8eef71eede9a2abfa2e
UPSC_CAPF_2026_0000001,UPSC CAPF,Government,UPSC,India,,2026,ML,Classification,Metrics,Medium,Understand,Programming questions,Write a Python expression to check if number 46 is even.,[],46 % 2 == 0,A number is even if remainder with 2 is zero.,2,0,120,English,Mock.AI Production Generator,"['upsc-capf', 'ml', 'medium', 'programming-questions']",2026-05-01T05:44:55.640226+00:00,2026-05-01T05:44:55.640226+00:00,330bf3c6d11650e7f326ddc0e5a1937bc7d1256f3e67d8aec52a52368033b1e7
UPSC_NDA_2026_0000003,UPSC NDA,Defense,UPSC,India,,2026,General Awareness,Current Affairs,International,Medium,Understand,MCQ,180 + 36 का मान क्या है?,"['216', '219', '224', '213']",216,योग = 180 + 36 = 216।,2,0.25,50,Hindi,Mock.AI Production Generator,"['upsc-nda', 'general-awareness', 'medium', 'mcq']",2026-05-01T05:44:55.640267+00:00,2026-05-01T05:44:55.640267+00:00,bc7e887ef9c3ca03001d44f82338bfdcc5907afb466e3d0501f51772ec0c0a26
INDIAN_ARMY_2026_0000001,Indian Army,Defense,Indian Army,India,,2026,History,Ancient India,Vedic Age,Medium,Apply,Assertion-Reason,Assertion (A): Repo rate affects lending rates. Reason (R): Repo rate is the rate at which RBI lends to commercial banks.,"['Both A and R are true and R is the correct explanation', 'Both A and R are true but R is not the correct explanation', 'A is true but R is false', 'A is false but R is true']",Both A and R are true and R is the correct explanation,Repo rate is a policy signal that propagates to loan pricing.,2,0.5,90,English,Mock.AI Production Generator,"['indian-army', 'history', 'medium', 'assertion-reason']",2026-05-01T05:44:55.640302+00:00,2026-05-01T05:44:55.640302+00:00,fe406afddd2fe1f63f35776263d25c9d90de32e0e3b7f2c91a034414517c8eb0
GIC_2026_0000001,GIC,Insurance,GIC,India,,2026,Quantitative Aptitude,Time and Work,Efficiency,Easy,Apply,Programming questions,संख्या 13 के सम होने की जांच के लिए Python अभिव्यक्ति लिखिए।,[],13 % 2 == 0,A number is even if remainder with 2 is zero.,2,0,120,Hindi,Mock.AI Production Generator,"['gic', 'quantitative-aptitude', 'easy', 'programming-questions']",2026-05-01T05:44:55.640338+00:00,2026-05-01T05:44:55.640338+00:00,42fbad38ee179ae9dda1892172c96d2fcdd284f53335ada230875e45796e118d
GATE_2026_0000002,GATE,Engineering,IISc/IITs,India,,2026,General Knowledge,Indian Geography,Rivers,Easy,Apply,Fill in the blanks,The capital of India is ____.,[],New Delhi,New Delhi is the national capital.,1,0,30,English,Mock.AI Production Generator,"['gate', 'general-knowledge', 'easy', 'fill-in-the-blanks']",2026-05-01T05:44:55.640373+00:00,2026-05-01T05:44:55.640373+00:00,7f05266be7c64fd19e1fcabdbee92d333264e0d6ef9f0875d1a2dc56adf23c9c
MPSC_2026_0000001,MPSC,State Government,MPSC,India,Maharashtra,2026,DBMS,SQL,Queries,Easy,Remember,True/False,समुद्र तल पर पानी 100 C पर उबलता है।,"['सत्य', 'असत्य']",सत्य,Standard boiling point at 1 atm is 100 C.,1,0,25,Hindi,Mock.AI Production Generator,"['mpsc', 'dbms', 'easy', 'true/false']",2026-05-01T05:44:55.640409+00:00,2026-05-01T05:44:55.640409+00:00,ef797b39848bfa5531796b68747216f4bc5e74a0ef6dd19ce91b418c6d90b068
INDIAN_NAVY_2026_0000002,Indian Navy,Defense,Indian Navy,India,,2026,Geography,Indian Geography,Monsoon,Easy,Remember,True/False,"In a BST, inorder traversal returns sorted keys.","['True', 'False']",True,BST inorder traversal yields sorted order.,1,0,25,English,Mock.AI Production Generator,"['indian-navy', 'geography', 'easy', 'true/false']",2026-05-01T05:44:55.640445+00:00,2026-05-01T05:44:55.640445+00:00,05effac061e1da7bc08fbcb13a759475a2b671627fc4b9bd0b2f7740f8bbd65a
JEE_ADVANCED_2026_0000002,JEE Advanced,Engineering,IIT,India,,2026,Science,General Biology,Nutrition,Medium,Understand,Case study questions,"A bank report shows branch deposits (in crore): A=64, B=55, C=41. Which branch has the highest deposits?","['A', 'B', 'C']",A,"Maximum value is 64, so branch A is correct.",2,0.5,120,English,Mock.AI Production Generator,"['jee-advanced', 'science', 'medium', 'case-study-questions']",2026-05-01T05:44:55.640482+00:00,2026-05-01T05:44:55.640482+00:00,f6aeda9073c0648a1439617191c34e1182bd1893210d0933e2c5be79bd6cee57
PUBLIC_PROSECUTOR_2026_0000001,Public Prosecutor,Judicial,State PSC,India,Various,2026,Computer Networks,OSI Model,Layers,Medium,Analyze,Fill in the blanks,RBI is the ____ bank of India.,[],central,RBI is India's central bank.,1,0,30,English,Mock.AI Production Generator,"['public-prosecutor', 'computer-networks', 'medium', 'fill-in-the-blanks']",2026-05-01T05:44:55.640629+00:00,2026-05-01T05:44:55.640629+00:00,3e8fdc88a3172afc715a9834319949f5e39391e51a7a0161b148b6cb8fb329e8
UGC_NET_2026_0000003,UGC NET,Teaching,NTA,India,,2026,ML,Supervised Learning,Regression,Easy,Understand,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['ugc-net', 'ml', 'easy', 'match-the-following']",2026-05-01T05:44:55.640665+00:00,2026-05-01T05:44:55.640665+00:00,d12e5fd636b19b86a6fe3ec3976d8dfe31926a5b0f56e4868f6045b32bf6e35f
TSPSC_2026_0000002,TSPSC,State Government,TSPSC,India,Telangana,2026,Computer Science,Software Engineering,Testing,Easy,Apply,Programming questions,Write a Python expression to check if number 30 is even.,[],30 % 2 == 0,A number is even if remainder with 2 is zero.,2,0,120,English,Mock.AI Production Generator,"['tspsc', 'computer-science', 'easy', 'programming-questions']",2026-05-01T05:44:55.640701+00:00,2026-05-01T05:44:55.640701+00:00,dad935131e81b813ed0e5dfd764543486756f3d15b99ce9232c2fe5fa3fbad0a
TET_2026_0000001,TET,Teaching,State Education Board,India,Various,2026,General Knowledge,Indian History,Freedom Movement,Easy,Apply,MCQ,What is the value of 2 + 19?,"['22', '21', '19', '26']",21,Sum = 2 + 19 = 21.,1,0.25,30,English,Mock.AI Production Generator,"['tet', 'general-knowledge', 'easy', 'mcq']",2026-05-01T05:44:55.640742+00:00,2026-05-01T05:44:55.640742+00:00,8c67a4e060af6bc6df9bdda3e934f2533449800624b2493be45cdd11b2852e8d
RRB_NTPC_2026_0000002,RRB NTPC,Railway,RRB,India,,2026,History,Medieval India,Delhi Sultanate,Easy,Apply,True/False,Water boils at 100 C at sea level.,"['True', 'False']",True,Standard boiling point at 1 atm is 100 C.,1,0,25,English,Mock.AI Production Generator,"['rrb-ntpc', 'history', 'easy', 'true/false']",2026-05-01T05:44:55.640777+00:00,2026-05-01T05:44:55.640777+00:00,a7934f73a19f8ffd541bb36e6ff2d41047e1ebd2c1a98c1701f933dff91b0082
SSC_CHSL_2026_0000001,SSC CHSL,Government,SSC,India,,2026,Operating Systems,Memory,Paging,Medium,Understand,Programming questions,Write a Python expression to check if number 43 is even.,[],43 % 2 == 0,A number is even if remainder with 2 is zero.,2,0,120,English,Mock.AI Production Generator,"['ssc-chsl', 'operating-systems', 'medium', 'programming-questions']",2026-05-01T05:44:55.640812+00:00,2026-05-01T05:44:55.640812+00:00,b505ab36ff7dff886ec50c10a70df61ecbf32874ce83a37dc6e1c61a26b5479e
UPPSC_2026_0000001,UPPSC,State Government,UPPSC,India,Uttar Pradesh,2026,Environment,Ecology,Food Chain,Easy,Understand,MCQ,What is the value of 13 + 19?,"['38', '32', '35', '31']",32,Sum = 13 + 19 = 32.,1,0.25,30,English,Mock.AI Production Generator,"['uppsc', 'environment', 'easy', 'mcq']",2026-05-01T05:44:55.640855+00:00,2026-05-01T05:44:55.640855+00:00,54ce73aa74c07bfcbaf5657d658e82146d9e168f33d43ed6130f6bdcdbf29956
SSC_CGL_2026_0000001,SSC CGL,Government,SSC,India,,2026,Statistics,Hypothesis Testing,p-value,Hard,Create,Numerical problems,"If a train travels 5278 km in 100 hours, find the speed.",[],52.78 km/h,Speed = distance/time = 5278/100 = 52.78 km/h.,4,1,120,English,Mock.AI Production Generator,"['ssc-cgl', 'statistics', 'hard', 'numerical-problems']",2026-05-01T05:44:55.640895+00:00,2026-05-01T05:44:55.640895+00:00,febcaf7989225c0824792796786f6eff326dd78dbdc9e063cb9c4eba32d811c9
DSSSB_2026_0000001,DSSSB,Teaching,DSSSB,India,Delhi,2026,Physics,Mechanics,Newton Laws,Hard,Analyze,True/False,Water boils at 100 C at sea level.,"['True', 'False']",True,Standard boiling point at 1 atm is 100 C.,1,0,40,English,Mock.AI Production Generator,"['dsssb', 'physics', 'hard', 'true/false']",2026-05-01T05:44:55.640929+00:00,2026-05-01T05:44:55.640929+00:00,74502bd2949d3025fa3c3a8f67c0d70fd82a82c305809024f42f7ea3258dea70
